TailNumber,FlightDate,Origin,Destination,FireIncident,FireStart,FireEnd,DistanceKM
N140CG,2025-07-29,Unknown,Missoula Montana (KMSO),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,29.64
N140CG,2025-07-29,Unknown,Missoula Montana (KMSO),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,28.24
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.60
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.29
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.36
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.90
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.72
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.90
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.63
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.20
N291EA,2025-08-06,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.17
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.51
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.13
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.91
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.73
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.86
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,29.94
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.54
N291EA,2025-08-05,MD87,Santa Maria (KSMX),Gifford Fire - CALPF,2025-08-01,2025-08-07,28.93
N291EA,2025-08-05,MD87,General Wm J Fox Airfield (KWJF),Gifford Fire - CALPF,2025-08-01,2025-08-07,26.99
N291EA,2025-08-04,MD87,Near Durango, CO,Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.89
N291EA,2025-08-04,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.27
N291EA,2025-08-04,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.48
N291EA,2025-08-04,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.84
N291EA,2025-08-04,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.30
N291EA,2025-08-04,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.76
N291EA,2025-08-04,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.90
N291EA,2025-08-03,MD87,Grand Junction Rgnl (KGJT),South Rim - COBCP,2025-07-10,2025-08-03,27.19
N291EA,2025-08-03,MD87,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,25.90
N291EA,2025-08-03,MD87,Grand Junction Rgnl (KGJT),Leroux - COMRD,2025-08-03,2025-08-03,24.31
N291EA,2025-08-03,MD87,Grand Junction Rgnl (KGJT),Leroux Fire - COMRD,2025-08-03,2025-08-07,24.31
N291EA,2025-08-03,MD87,Near Grand Junction, CO,Elk RBX Fire - COWRD,2025-08-02,2025-08-07,27.28
N291EA,2025-08-03,MD87,Near Grand Junction, CO,Elk RBX Fire - COWRD,2025-08-02,2025-08-07,27.28
